流水號,大類別,From,網址,created_time,post_type,postID,post_message,status_type,link,轉貼標題(name),留言數,按讚數,分享數,update_time,
24,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_915747275213308,8:30:41 AM,video,111103359011041_915747275213308,別小看工程師的籃球魂啊！,shared_story,https://www.facebook.com/22ThinkCreative/videos/1340501479308702/,22,18,1317,,3/28/2016 20:54,
130,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_897188770402492,10:50:00 PM,link,111103359011041_897188770402492,【希平方英文學堂】Brace! Brace! Brace!你知道這個機上英文是什麼意思嗎？看懂這些單字，機上搖身成為不求人！(...by #希小編)#內有彩蛋冷知識 #原來有這麼多生字 #專欄教學★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓,shared_story,https://www.hopenglish.com/how-to-cope-with-a-fear-of-flying-2,搭機好煩惱，單字沒一個看得懂,6,449,237,3/7/2016 10:43,
84,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_904809516307084,10:50:01 PM,link,111103359011041_904809516307084,【職場英文】常常星期一早上到公司都要開會（（哭 有人可以告訴小編，如果在會議中有人叫我 Take the minutes，那是什麼意思呢？是要計時的意思嗎？😱😱😱（by #學海無編）#英文會議難不倒我 #這題有陷阱 #專欄教學,shared_story,https://www.hopenglish.com/a-video-conference-call-in-real-life-2,開國際會議時不再霧煞煞！必學實用會議英文,0,325,121,3/14/2016 22:50,
134,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_897850377002998,10:50:01 PM,link,111103359011041_897850377002998,【超實用文法】in， on， at 總是分不清楚嗎？考考大家，「我在希平方文法教室裡」要用哪一個介系詞呢？✨✨✨（by #學海無編）#以下開放搶答 #等等呢我在繽紛樂 #專欄教學,shared_story,https://www.hopenglish.com/10-places-to-travel-in-2016-2,in、at、on 總是搞不懂？一次告訴你！,3,272,136,3/8/2016 3:29,
61,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_906266512828051,10:50:01 PM,link,111103359011041_906266512828051,【旅遊英文】出國旅遊時，要點餐卻只能比手畫腳嗎？如果很餓想要薯條加大要怎麼說呢？🍟🍟🍟如何點餐一次教給你！(by #學海無編)#說到點餐肚子又餓了 #薯條怎麼能不加大呢 #專欄教學,shared_story,https://www.hopenglish.com/4-ways-to-order-at-a-restaurant-2,如何用英文點餐？4種簡單句型教給你！,1,250,94,3/20/2016 17:16,
60,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_907761132678589,9:20:00 AM,photo,111103359011041_907761132678589,各位學英文的朋友早安：)「換言之、也就是說」- In Other Words↓https://www.hopenglish.com/in-other-words-6關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/907761132678589/?type=3,Timeline Photos,1,235,25,3/21/2016 16:14,
17,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_916787661775936,10:35:36 AM,video,111103359011041_916787661775936,好真實的開賽秀啊！,shared_story,https://www.facebook.com/1424927337811617/videos/1529279334043083/,Omg Lmfao Lol Wtf Videos,2,218,,3/28/2016 14:57,
67,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_908008202653882,7:58:00 PM,link,111103359011041_908008202653882,【職場英文】寫履歷時還在用 Times New Roman 字體嗎？小心，面試官可能會以為你是 ________ 的人喔！(by #希小編 )#避開5大地雷字體 #職場無往不利 #精選影片,shared_story,https://www.hopenglish.com/how-to-know-the-fonts-to-never-use,「想給人好印象？絕對別用這五種字體」- How to Know the Fonts to Never Use,0,202,82,3/18/2016 19:58,
44,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_911651652289537,9:20:01 AM,photo,111103359011041_911651652289537,各位學英文的朋友早安：)「簡而言之、總之」- In Short↓https://www.hopenglish.com/in-short-2關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/911651652289537/?type=3,Timeline Photos,2,199,20,3/24/2016 9:15,
86,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_904638199657549,12:20:00 PM,photo,111103359011041_904638199657549,大量使用片語才是老外真正的說話方式↓「較量、接受(挑戰)」- Take On↓https://www.hopenglish.com/take-on-5關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/904638199657549/?type=3,Timeline Photos,3,193,18,3/15/2016 19:41,
