流水號,大類別,From,網址,created_time,post_type,postID,post_message,status_type,link,轉貼標題(name),留言數,按讚數,分享數,update_time
9,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1154049831281483,9:00:00 PM,link,515316421821497_1154049831281483,【HERO 全新改版！抽 60 堂免費課程】VoiceTube HERO 是一套線上英語學習系統，提供最有效率的影片學習法，每堂課皆以一段影片搭配兼顧聽說讀寫的題型，點我免費體驗：https://goo.gl/S1XCsb※體驗課程目前僅提供給桌面版使用，我們也在努力設計行動版的囉！　　而全新改版的 VoiceTube HERO 終於正式上線囉！為了回饋大家長期的支持，小編要舉辦抽獎活動啦～快來告訴我們你學英文是為了達成什麼夢想，小編將會抽出 3 名幸運兒，贈送 60 堂的 HERO 中級/中高級課程，馬上留言+分享，讓 HERO 幫你圓夢吧　　活動方式：step 1：加入「VoiceTube 看影片學英語」粉絲團step 2：在此篇貼文下方留言，分享你想學英文是為了達成什麼夢想，　　　　並tag兩位朋友step 3：分享此篇貼文，並設定為「公開」　　活動日期：即日起到2016/4/11(一)　中午12:30截止4/12(二) 將抽出3名幸運兒，並公布於 VoiceTube 粉絲團，小編也會私訊通知得獎者喔～　　活動獎品：HERO 中級/中高級課程60堂（價值$4，950）*3組　　備註：1. VoiceTube 保留活動解釋與修改權利2. 一個帳號只有一次抽獎機會 3. 得獎者若在 4/15(五) 18:00 前未確認中獎資訊，則視為放棄得獎資格，VoiceTube 將另外抽出遞補人選　　------------------------------------------------------------------------　　【VoiceTube HERO 線上英語學習課程】免費體驗課程，還能測出你的多益程度>>> https://goo.gl/S1XCsb　　更多 HERO 功能介紹>>> https://goo.gl/ASEM1p,shared_story,https://goo.gl/S1XCsb,VoiceTube HERO 最有效率的影片學習法,432,3188,650,4/11/2016 16:24
116,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1138048619548271,11:50:00 AM,photo,515316421821497_1138048619548271,【午後每日一句】If you continuously compete with others， you become bitter. If you continuously compete with yourself， you become better.如果你總和別人比，你會過得很苦。如果你不斷和現在的自己比，那你會變得更好。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1138048619548271/?type=3,Timeline Photos,12,1380,228,3/16/2016 21:35
163,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1133672173319249,11:50:00 AM,photo,515316421821497_1133672173319249,【午後每日一句】I've lived， I've loved， I've lost， I've missed， I've hurt， I've trusted， I've made mistakes， but most of all， I've learned.我活過，也愛過。我迷惘過，也失去過。我受過傷，相信過，也犯過錯。但最重要的是，我從中學到許多◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1133672173319249/?type=3,Timeline Photos,6,1265,174,3/5/2016 23:48
158,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1133673823319084,11:50:00 AM,photo,515316421821497_1133673823319084,【午後每日一句】Enjoy your youth. You'll never be younger than you are at this very moment. 享受年輕的生命吧，下一刻的你永遠沒有此刻的青春。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1133673823319084/?type=3,Timeline Photos,6,1262,155,3/6/2016 14:20
140,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1138040869549046,11:50:00 AM,photo,515316421821497_1138040869549046,【午後每日一句】Never give up on something you really want. It's difficult to wait， but worse to regret.絕不放棄自己真正想要的東西。等待很難受，但後悔更煎熬。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1138040869549046/?type=3,Timeline Photos,3,1153,179,3/9/2016 23:48
59,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1146503755369424,11:50:01 AM,photo,515316421821497_1146503755369424,【午後每日一句】You have to do the things others won’t do， in order to get the things others won’t get .你必須先做別人不做的事，才會得到別人得不到的。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/frbcBA▷iOS：https://goo.gl/XEsLBx◇圖片來源：https://goo.gl/U6D57l,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1146503755369424/?type=3,Timeline Photos,6,1106,166,3/24/2016 11:56
89,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1143557352330731,1:00:00 PM,link,515316421821497_1143557352330731,總是羨慕 (admire) ABC的流利發音 (fluent pronunciation)，而自己學了多年英文卻不敢開口說？這部影片讓你不再「相見恨晚」(regret)，這終極三招 (ultimate tips) 讓你的英文嚇嚇叫，不出國，也能說得又順又好http://goo.gl/NRnJCN,shared_story,http://goo.gl/NRnJCN,終極三招！讓你發音像Native Speaker！(3 tips for sounding like a native speaker),10,1081,633,3/19/2016 14:27
74,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1143578372328629,7:00:00 PM,link,515316421821497_1143578372328629,考考你，以下選項有幾個是錯的？1.存錢到銀行= save the money in the bank2. 擁有良好英文能力= have good english ability3. 接電話= accept/receive a call4. 參加考試= join an exam5. 喝湯= drink soup..........答案是，通通是錯的。英文總是在說「中翻英」的英文？現在沒有理由不看這篇文章了：,shared_story,http://goo.gl/MyZsbu,好了，別再說中式英文了：受中文混淆的11個實用日常英語搭配詞,14,1074,408,3/20/2016 21:26
26,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1150101161676350,9:00:00 PM,link,515316421821497_1150101161676350,【實用推薦】中文會說「你很雷」但明明跟天氣完全沒關係英文也有很多這種意想不到的流行語呦！比如 dead 不一定代表有東西死掉了sick 也跟生病完全沒有關係幫你整理 10 句不能不知道的超常見流行語！http://goo.gl/rdJ9O4,shared_story,http://goo.gl/rdJ9O4,I’m good 不是「我很好」、Killed it 不是「殺了他」！10 句意想不到的英文流行語！,7,1069,444,3/29/2016 15:36
152,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1137030396316760,11:50:00 AM,photo,515316421821497_1137030396316760,【午後每日一句】Whatever you are facing today， remember to give yourself some credit for making it this far. You are stronger than you know.無論你今天要面對什麼，既然走到了這一步，就給自己一些肯定，你比自己想像中要堅強。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n◇圖片來源：https://goo.gl/AC8ZwI,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1137030396316760/?type=3,Timeline Photos,1,1066,169,3/7/2016 20:43
